name,timestamp,values,app_kubernetes_io_instance,app_kubernetes_io_managed_by,app_kubernetes_io_name,app_kubernetes_io_part_of,container,controller_revision_hash,endpoint,instance,job,kubernetes_pod_name,namespace,node_ip,node_name,pod,statefulset_kubernetes_io_pod_name,strimzi_io_cluster,strimzi_io_kind,strimzi_io_name,topic
,1627410590.243,703416.4,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,
,1627410590.243,54,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,__consumer_offsets
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,__strimzi_store_topic
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-1
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-10
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-100
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-11
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-12
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-13
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-14
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-15
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-16
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-17
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-19
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-2
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-20
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-21
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-22
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-24
,1627410590.243,0,my-cluster-metrics,strimzi-cluster-operator,kafka,strimzi-my-cluster-metrics,kafka,my-cluster-metrics-kafka-5f6f88959d,tcp-prometheus,172.17.0.5:9404,kafka/kafka-resources-metrics,my-cluster-metrics-kafka-0,kafka,192.168.49.2,minikube,my-cluster-metrics-kafka-0,my-cluster-metrics-kafka-0,my-cluster-metrics,Kafka,my-cluster-metrics-kafka,new-pizza-orders-25
