name,timestamp,values
container_memory_usage_bytes,1626219516,1036161024
container_memory_usage_bytes,1626219529,1036144640
container_memory_usage_bytes,1626219545,1036156928
container_memory_usage_bytes,1626219556,1036693504
container_memory_usage_bytes,1626219570,1038397440
container_memory_usage_bytes,1626219583,1038434304
container_memory_usage_bytes,1626219602,1038462976
container_memory_usage_bytes,1626219614,1039130624
container_memory_usage_bytes,1626219629,1039134720
container_memory_usage_bytes,1626219648,1040998400
container_memory_usage_bytes,1626219666,1040998400
container_memory_usage_bytes,1626219679,1042100224
container_memory_usage_bytes,1626219689,1042137088
container_memory_usage_bytes,1626219701,1043476480
container_memory_usage_bytes,1626219715,1043513344
container_memory_usage_bytes,1626219733,1044742144
container_memory_usage_bytes,1626219749,1044742144
container_memory_usage_bytes,1626219764,1045409792
container_memory_usage_bytes,1626219778,1045577728
container_memory_usage_bytes,1626219798,1046228992
container_memory_usage_bytes,1626219816,1046351872
container_memory_usage_bytes,1626219833,1046646784
container_memory_usage_bytes,1626219852,1047080960
container_memory_usage_bytes,1626219863,1047080960
container_memory_usage_bytes,1626219881,1047072768
container_memory_usage_bytes,1626219899,1047085056
container_memory_usage_bytes,1626219911,1047441408
container_memory_usage_bytes,1626219929,1047474176
container_memory_usage_bytes,1626219948,1047527424
container_memory_usage_bytes,1626219962,1047531520
container_memory_usage_bytes,1626219976,1047539712
container_memory_usage_bytes,1626219995,1047560192
container_memory_usage_bytes,1626220007,1047126016
container_memory_usage_bytes,1626220024,1047175168
container_memory_usage_bytes,1626220039,1047158784
container_memory_usage_bytes,1626220052,1047269376
container_memory_usage_bytes,1626220071,1047244800
container_memory_usage_bytes,1626220083,1047252992
container_memory_usage_bytes,1626220099,1047252992
container_memory_usage_bytes,1626220114,1047248896
container_memory_usage_bytes,1626220130,1047257088
container_memory_usage_bytes,1626220149,1047269376
container_memory_usage_bytes,1626220159,1047277568
container_memory_usage_bytes,1626220171,1047400448
container_memory_usage_bytes,1626220185,1047433216
container_memory_usage_bytes,1626220202,1047441408
container_memory_usage_bytes,1626220215,1047478272
container_memory_usage_bytes,1626220232,1047445504
container_memory_usage_bytes,1626220252,1047801856
container_memory_usage_bytes,1626220266,1047810048
container_memory_usage_bytes,1626220281,1051385856
container_memory_usage_bytes,1626220294,1051451392
container_memory_usage_bytes,1626220307,1054498816
container_memory_usage_bytes,1626220323,1054633984
container_memory_usage_bytes,1626220334,1056223232
container_memory_usage_bytes,1626220347,1056223232
container_memory_usage_bytes,1626220366,1057763328
container_memory_usage_bytes,1626220379,1057763328
container_memory_usage_bytes,1626220390,1060130816
