name,timestamp,values
,1626917869.905,54270016.12269723
name,timestamp,values
,1626917872.085,55445163.45887962
name,timestamp,values
,1626917874.262,44659060.70584172
name,timestamp,values
,1626917876.44,36472882.16821037
